0,-nan
4,858.379442
8,871.119136
16,840.645713
32,786.031438
64,495.601027
128,265.199008
200,243.852198
256,229.131311
288,235.899077
320,229.634771
384,219.807759
512,210.633116
768,212.004084
1024,193.028450
1536,235.298950
2048,251.015037
4096,217.779813
8192,209.756574
12288,195.429356
16384,171.717632
20480,147.578170
24576,138.853478
28672,130.371969
32768,111.311085
36864,109.399054
40960,109.826782
45056,99.280297
49152,100.935060
65536,119.468929
131072,90.607116
262144,87.729430
524288,95.549200
